"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence1]]]]: Dana Reeve, the [[widow]] of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.<SPLIT>[[[[Sentence2]]]]: Christopher Reeve had an accident.","[[[[Sentence1]]]]: Dana Reeve, the [[wiԁow]] of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.<SPLIT>[[[[Sentence2]]]]: Christopher Reeve had an accident.",0.03170663118362427,0.5844736099243164,1,0,1,32,"Successful"
"[[[[Sentence1]]]]: Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Sentence2]]]]: Bacteria is winning the war against antibiotics.","[[[[Sentence1]]]]: Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Sentence2]]]]: Bacteria is winning the war against antibiotics.",0.9634113311767578,0.9634113311767578,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Sentence2]]]]: 15 million tonnes of rubbish are produced daily in Cairo.","[[[[Sentence1]]]]: Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Sentence2]]]]: 15 million tonnes of rubbish are produced daily in Cairo.",0.9292144179344177,0.9292144179344177,0,0,1,1,"Skipped"
"[[[[Sentence1]]]]: The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Sentence2]]]]: Pennsylvania has the biggest Amish community in the U.S.","[[[[Sentence1]]]]: The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Sentence2]]]]: Pennsylvania has the biggest Amish community in the U.S.",0.7332932353019714,0.7332932353019714,0,0,1,1,"Skipped"
"[[[[Sentence1]]]]: Security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been [[killed]].<SPLIT>[[[[Sentence2]]]]: Security forces were on high alert after a [[campaign]] marred by violence.","[[[[Sentence1]]]]: Security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been [[kіlled]].<SPLIT>[[[[Sentence2]]]]: Security forces were on high alert after a [[countryside]] marred by violence.",0.06564605236053467,0.8838570713996887,0,1,0,51,"Successful"
"[[[[Sentence1]]]]: In [[1979]], the leaders signed the Egypt-Israel peace treaty on the White House lawn. Both President Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Sentence2]]]]: The Israel-Egypt Peace Agreement was signed in 1979.","[[[[Sentence1]]]]: In [[197৭]], the leaders signed the Egypt-Israel peace treaty on the White House lawn. Both President Begin and Sadat received the Nobel Peace Prize for their work. The two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Sentence2]]]]: The Israel-Egypt Peace Agreement was signed in 1979.",0.056001126766204834,0.910531759262085,0,1,0,40,"Successful"
"[[[[Sentence1]]]]: singer and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin [[Federline]], 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that Spears appeared on Late Night with David Letterman.<SPLIT>[[[[Sentence2]]]]: Spears is to [[divorce]] from Kevin Federline.","[[[[Sentence1]]]]: singer and actress Britney Spears, 24, has filled papers in Los Angeles County Superior Court to divorce her husband Kevin [[Federliոe]], 28. A spokeswoman for the court, Kathy Roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of Monday, November 6, the same day that Spears appeared on Late Night with David Letterman.<SPLIT>[[[[Sentence2]]]]: Spears is to [[remarrying]] from Kevin Federline.",0.05877888202667236,0.9037341475486755,0,1,0,74,"Successful"
"[[[[Sentence1]]]]: Following the successful bid to bring the [[2010]] Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Sentence2]]]]: Wales to host 2010 Ryder Cup.","[[[[Sentence1]]]]: Following the successful bid to bring the [[20l0]] Ryder Cup to Wales, the Wales Tourist Board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Sentence2]]]]: Wales to host 2010 Ryder Cup.",0.06398838758468628,0.9744845628738403,0,1,0,36,"Successful"
"[[[[Sentence1]]]]: Steve [[Jobs]] was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Sentence2]]]]: Steve Jobs worked for Apple.","[[[[Sentence1]]]]: Steve [[Jоbs]] was attacked by Sculley and other Apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Sentence2]]]]: Steve Jobs worked for Apple.",0.0632251501083374,0.9364752769470215,0,1,0,31,"Successful"
"[[[[Sentence1]]]]: Traditionally, the Brahui of the [[Raisani]] tribe are in charge of the law and order situation through the Pass area. This tribe is still living in present day Balochistan in Pakistan.<SPLIT>[[[[Sentence2]]]]: The Raisani tribe resides in [[Pakistan]].","[[[[Sentence1]]]]: Traditionally, the Brahui of the [[Raisanі]] tribe are in charge of the law and order situation through the Pass area. This tribe is still living in present day Balochistan in Pakistan.<SPLIT>[[[[Sentence2]]]]: The Raisani tribe resides in [[Pakistanis]].",0.059777677059173584,0.7897849082946777,0,1,0,48,"Successful"
